case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,32,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,32,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,33,answer_position,26.625,23.125,26.25,3.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,33,number_tokens,26.625,23.125,22.75,-0.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,33,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,34,answer_position,26.625,23.125,26.5,3.375,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,34,number_tokens,26.625,23.125,23.0,-0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,34,random_positions,26.625,23.125,23.25,0.125,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,35,answer_position,26.625,23.125,26.625,3.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,35,number_tokens,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
0,discovery,1,34,3,35,random_positions,26.625,23.125,23.125,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,0,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,0,number_tokens,26.625,20.5,20.25,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,0,random_positions,26.625,20.5,21.0,0.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,1,answer_position,26.625,20.5,20.25,-0.25,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,1,number_tokens,26.625,20.5,19.5,-1.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,1,random_positions,26.625,20.5,21.0,0.5,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
1,discovery,1,35,4,2,answer_position,26.625,20.5,20.5,0.0,True,True,Qwen/Qwen3-4B-Instruct-2507,cdbee75f17c01a7cc42f958dc650907174af0554
