case,split,digit,whole,zeros,layer,control,source_margin,target_margin,patched_margin,margin_effect,target_correct,patched_correct,model,revision
0,discovery,1,34,3,30,answer_position,8.75,4.5,7.9375,3.4375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,30,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,30,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,31,answer_position,8.75,4.5,7.9375,3.4375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,31,number_tokens,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,31,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,32,answer_position,8.75,4.5,7.9375,3.4375,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,32,number_tokens,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,32,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,33,answer_position,8.75,4.5,8.0,3.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,33,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,33,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,34,answer_position,8.75,4.5,8.0,3.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,34,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,34,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,35,answer_position,8.75,4.5,8.125,3.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,35,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,35,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,36,answer_position,8.75,4.5,8.0,3.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,36,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,36,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,37,answer_position,8.75,4.5,8.0,3.5,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,37,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,37,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,38,answer_position,8.75,4.5,8.125,3.625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,38,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,38,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,39,answer_position,8.75,4.5,8.375,3.875,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,39,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,39,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,40,answer_position,8.75,4.5,8.5625,4.0625,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,40,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,40,random_positions,8.75,4.5,4.625,0.125,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,41,answer_position,8.75,4.5,8.75,4.25,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,41,number_tokens,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
0,discovery,1,34,3,41,random_positions,8.75,4.5,4.5,0.0,True,True,google/gemma-2-9b-it,11c9b309abf73637e4b6f9a3fa1e92e615547819
